batch loss cost time
200 0.647954 124.55 252
400 0.624296 121.39 231
600 0.616993 120.21 283
800 0.603339 123.38 293
1000 0.603156 116.61 267
1200 0.590591 106.13 239
1400 0.584474 112.57 252
1600 0.584183 115.22 229
1800 0.571871 117.71 256
2000 0.568977 121.51 287
2200 0.559665 114.50 269
2400 0.560943 116.97 256
2600 0.560445 118.84 231
2800 0.545681 114.39 227
3000 0.538894 122.54 271
3200 0.543701 116.29 267
3400 0.540831 114.33 268
3600 0.527768 111.45 270
3800 0.525279 114.64 274
4000 0.525754 107.55 266
4200 0.523504 114.72 291
4400 0.513974 110.95 256
4600 0.500540 101.38 214
4800 0.509206 101.01 236
5000 0.505125 111.73 245
5200 0.507845 106.29 227
5400 0.515629 105.24 231
5600 0.491548 99.44 226
5800 0.505930 108.40 245
6000 0.499246 110.64 224
6200 0.507043 106.21 235
6400 0.498642 99.24 209
6600 0.506565 110.45 254
6800 0.489860 108.21 269
7000 0.489037 104.59 255
7200 0.510393 107.55 242
7400 0.502957 111.41 281
7600 0.504690 113.46 263
7800 0.490369 115.00 230
8000 0.486905 98.51 205
8200 0.467227 97.33 201
8400 0.481074 99.53 204
8600 0.503842 104.47 229
8800 0.500479 108.66 253
9000 0.489529 104.47 258
9200 0.486879 98.31 253
9400 0.488588 124.96 307
9600 0.496045 105.65 266
9800 0.481793 101.73 252
10000 0.494606 112.98 249
10200 0.483689 115.18 269
10400 0.481759 111.07 260
10600 0.471979 100.15 245
10800 0.473819 95.74 221
11000 0.486521 105.13 229
11200 0.481270 97.61 214
11400 0.486859 105.49 224
11600 0.474123 98.22 230
11800 0.458420 98.87 258
12000 0.470342 95.06 211
12200 0.460320 106.01 234
12400 0.486592 102.50 247
12600 0.464528 98.75 225
12800 0.491069 110.54 265
13000 0.477204 105.55 262
13200 0.466846 103.70 248
13400 0.470682 99.59 254
13600 0.485012 112.97 242
13800 0.482558 117.46 246
14000 0.471301 101.16 217
14200 0.487107 116.58 252
14400 0.453104 105.52 244
14600 0.462100 99.92 240
14800 0.467950 108.96 257
15000 0.485167 105.97 237
15200 0.459985 91.76 239
15400 0.476879 111.16 242
15600 0.449984 103.39 213
15800 0.468793 105.31 215
16000 0.465961 95.27 202
16200 0.475787 100.32 210
16400 0.470463 103.28 210
16600 0.467017 113.83 230
16800 0.453843 88.50 200
17000 0.456809 103.32 218
17200 0.472988 98.72 221
17400 0.463156 106.08 224
17600 0.462627 101.64 234
17800 0.464462 92.19 222
18000 0.474120 110.98 249
18200 0.470605 104.07 232
18400 0.462688 105.53 221
18600 0.453464 96.16 204
18800 0.455774 100.51 237
19000 0.473705 114.53 250
19200 0.443702 96.91 210
19400 0.449913 99.72 219
19600 0.452709 100.99 243
19800 0.465620 106.06 245
20000 0.471598 109.33 243
20200 0.458687 105.72 238
20400 0.446530 105.93 240
20600 0.453995 111.99 237
20800 0.459055 109.57 247
21000 0.459568 98.68 227
21200 0.454188 113.02 260
21400 0.446710 100.44 232
21600 0.436427 103.70 240
21800 0.419170 92.98 224
22000 0.451592 104.60 240
22200 0.427995 90.96 217
22400 0.453651 101.89 243
22600 0.489697 103.09 230
22800 0.440428 98.99 221
23000 0.462338 106.25 246
23200 0.429408 99.40 227
23400 0.452571 103.71 243
23600 0.463634 108.35 246
23800 0.463549 114.31 257
24000 0.455621 100.68 239
24200 0.444249 98.48 239
24400 0.436048 88.86 215
24600 0.432885 94.18 221
24800 0.442519 108.84 243
25000 0.456947 99.43 226
25200 0.455181 103.79 236
25400 0.453144 103.67 227
25600 0.465801 112.36 235
25800 0.457340 102.29 231
26000 0.439857 88.61 214
26200 0.459707 108.40 238
26400 0.434895 104.47 239
26600 0.432029 98.56 216
26800 0.463475 106.60 249
27000 0.444085 99.49 229
27200 0.442961 102.90 224
27400 0.451461 103.28 240
27600 0.458939 107.82 248
27800 0.432653 100.18 222
28000 0.452728 97.96 223
28200 0.449408 111.64 255
28400 0.436137 104.62 235
28600 0.435436 99.32 235
28800 0.441635 99.95 237
29000 0.422969 94.98 223
29200 0.424669 104.98 233
29400 0.405303 95.83 232
29600 0.403251 95.75 219
29800 0.402892 95.63 244
30000 0.392338 95.99 237
30200 0.367936 93.85 230
30400 0.368394 92.24 235
30600 0.361590 94.67 235
30800 0.344905 90.49 230
31000 0.346562 87.37 230
31200 0.351325 87.02 232
31400 0.327896 80.94 222
31600 0.326874 76.51 212
31800 0.339414 89.06 229
32000 0.320163 83.54 226
32200 0.315085 74.72 227
32400 0.324310 82.96 228
32600 0.321665 80.32 228
32800 0.336393 89.44 246
33000 0.337257 90.77 250
33200 0.293781 75.40 225
33400 0.325541 85.86 245
33600 0.322337 82.45 220
33800 0.311776 78.86 248
34000 0.301094 82.55 235
34200 0.316184 87.54 246
34400 0.301178 86.19 244
34600 0.293267 77.06 222
34800 0.307795 88.91 258
35000 0.312033 92.17 245
35200 0.301200 84.86 229
35400 0.311119 85.03 249
35600 0.298163 81.24 236
35800 0.271965 70.84 211
36000 0.302714 81.03 221
36200 0.293554 77.74 232
36400 0.267159 68.97 219
36600 0.281392 80.56 232
36800 0.275156 77.76 223
37000 0.279967 79.99 237
