batch loss cost time
200 0.627452 121.01 60
400 0.585654 116.04 73
600 0.554686 110.33 75
800 0.525150 110.90 72
1000 0.530240 104.46 73
1200 0.509324 94.38 65
1400 0.506768 100.01 67
1600 0.513661 103.68 69
1800 0.501522 105.76 71
2000 0.488146 109.75 72
2200 0.483861 103.31 72
2400 0.502115 107.63 73
2600 0.492276 108.79 72
2800 0.484449 105.51 72
3000 0.483871 113.59 77
3200 0.493831 109.07 72
3400 0.496960 107.36 71
3600 0.482437 105.36 68
3800 0.488424 109.37 70
4000 0.488590 102.51 68
4200 0.480820 109.66 69
4400 0.475726 107.06 66
4600 0.459332 96.79 61
4800 0.475252 97.36 64
5000 0.473739 108.58 71
5200 0.481893 103.74 64
5400 0.479982 100.98 65
5600 0.464719 97.51 61
5800 0.482750 105.78 66
6000 0.469131 106.30 69
6200 0.473658 102.26 63
6400 0.462092 96.14 61
6600 0.469971 105.52 66
6800 0.461258 105.04 65
7000 0.457014 101.00 60
7200 0.475064 103.35 65
7400 0.477960 108.71 69
7600 0.483887 111.32 69
7800 0.466132 111.91 67
8000 0.460541 95.52 62
8200 0.429121 95.37 62
8400 0.439157 95.77 65
8600 0.459032 99.69 63
8800 0.470303 103.78 66
9000 0.447498 98.79 62
9200 0.436178 92.61 61
9400 0.457093 120.33 74
9600 0.443506 99.26 68
9800 0.433522 96.50 68
10000 0.416276 103.71 69
